step,session,session_step,group_id,group_name,section_v2,section_title,slide_id,identifier,step_title,description,element_group,placement_group,interactive,simplification,notes
12,Discover,12,1,What Is AI?,3,Rules vs Learning,0,rules.s0,Programs vs AI intro,Programs = explicit rules someone wrote. AI = patterns learned from data. Define 'program'.,rules-frame,frame,STATIC,,
13,Discover,13,1,What Is AI?,3,Rules vs Learning,1,rules.s1,Pair 1 question,First scenario pair shown side-by-side (e.g. calculator vs cat detector). Class guesses which is which.,rules-pair-1,pair-1-canvas,SELECT,,
14,Discover,14,1,What Is AI?,3,Rules vs Learning,2,rules.s2,Pair 1 reveal,Reveal which is rule-based and which is AI. Bike analogy: you can't learn to ride a bike from instructions.,rules-pair-1,pair-1-canvas,STATIC,,
15,Discover,15,1,What Is AI?,3,Rules vs Learning,3,rules.s3,Pair 2 question,Second scenario pair. Class guesses again.,rules-pair-2,pair-2-canvas,SELECT,,
16,Discover,16,1,What Is AI?,3,Rules vs Learning,4,rules.s4,Pair 2 reveal,Reveal — second example reinforces the pattern.,rules-pair-2,pair-2-canvas,STATIC,,
17,Discover,17,1,What Is AI?,3,Rules vs Learning,5,rules.s5,Bias warning,"AI learns FROM EXAMPLES — bad/unbalanced examples = bad learning. Define 'bias'. 'If AI only saw golden retrievers, would it recognize a poodle as a dog?'",rules-insight,frame,STATIC,,
18,Discover,18,1,What Is AI?,4,Brain vs AI,0,brain.s0,Does AI think like us?,"Title — three areas to compare: how it learns, emotions, creativity. Honest framing: we don't fully know.",brain-frame,frame,STATIC,,
19,Discover,19,1,What Is AI?,4,Brain vs AI,1,brain.s1,Learning Q,Prompt: how does each one learn?,brain-learning,row-learning,STATIC,,
20,Discover,20,1,What Is AI?,4,Brain vs AI,2,brain.s2,Learning A,"Both learn — brains from living in the world, AI from millions of text examples.",brain-learning,row-learning,STATIC,,
21,Discover,21,1,What Is AI?,4,Brain vs AI,3,brain.s3,Emotions Q,Prompt: does AI have feelings?,brain-emotions,row-emotions,STATIC,,
22,Discover,22,1,What Is AI?,4,Brain vs AI,4,brain.s4,Emotions A,AI sounds emotional but doesn't FEEL anything — like an actor who can cry on cue without being sad.,brain-emotions,row-emotions,STATIC,,
23,Discover,23,1,What Is AI?,4,Brain vs AI,5,brain.s5,Creativity Q,Prompt: is AI creative?,brain-creative,row-creative,STATIC,,
24,Discover,24,1,What Is AI?,4,Brain vs AI,6,brain.s6,Creativity A,AI remixes patterns from training data. Is that creativity? Open question for the class.,brain-creative,row-creative,STATIC,,
25,Discover,25,1,What Is AI?,4,Brain vs AI,7,brain.s7,Math function payoff,Punchline: AI was inspired by neurons but is ultimately a giant math function — billions of multiplications. Define 'neuron'.,brain-payoff,frame,STATIC,,
26,Explore,1,2,Meet the LLMs,5,What's an LLM?,0,llm.s0,LLM intro,"Define LLM = Large Language Model. 'Three words, each matters — we'll break them down one by one.'",llm-frame,letter-stack,STATIC,,
27,Explore,2,2,Meet the LLMs,5,What's an LLM?,1,llm.s1,L = Large,GPT-4 trained on TRILLIONS of words. English Wikipedia ≈ 4B words — these models read hundreds of Wikipedias.,llm-letters,letter-stack,STATIC,We say 'words' but technically LLMs process tokens — subword pieces. We use 'words' because it's intuitive.,
28,Explore,3,2,Meet the LLMs,5,What's an LLM?,2,llm.s2,L = Language,"Distinguishes LLMs from image/audio AI. Some newer models handle images too, but language is core.",llm-letters,letter-stack,STATIC,,
29,Explore,4,2,Meet the LLMs,5,What's an LLM?,3,llm.s3,M = Model,Mathematical representation of patterns. Analogy: hearing enough songs builds a 'model' of music in your brain — LLMs build a model of language.,llm-letters,letter-stack,STATIC,,
30,Explore,5,2,Meet the LLMs,5,What's an LLM?,4,llm.s4,Multimodal expansion,"Unpack: LLMs aren't just text anymore — vision, audio. Define 'multimodal'. Discussion: 'most popular thing people use LLMs for?'",llm-payoff,letter-stack,STATIC,,
31,Explore,6,2,Meet the LLMs,6,Meet the Models,0,models.s0,Carousel of 4 models,"Auto-scrolling cards: ChatGPT (OpenAI), Claude (Anthropic), Llama (Meta — open source), Gemini (Google). 'Has anyone heard of any of these?'",models-tour,carousel-canvas,AUTO-ANIM,,
32,Explore,7,2,Meet the LLMs,6,Meet the Models,1,models.s1,BIG question hook,'BILLIONS of words — but HOW does that teach it to write?' Dramatic pause. Don't answer yet.,models-hook,frame,STATIC,,
33,Explore,8,2,Meet the LLMs,7,How AI Learns,0,learn.s0,"Guess, check, adjust intro","Title — AI learns by guessing, being told if it's right or wrong, and adjusting its settings.",learn-frame,frame,STATIC,,
34,Explore,9,2,Meet the LLMs,7,How AI Learns,1,learn.s1,Knock-knock setup,Round 1 setup: knock-knock. Cat says 'Lettuce' — what's the punchline? Robots make wild guesses.,learn-round-1,joke-canvas,AUTO-ANIM,,
35,Explore,10,2,Meet the LLMs,7,How AI Learns,2,learn.s2,Punchline reveal,Punchline reveals: 'Lettuce in!' Robots got it wrong. Their weight dials shift.,learn-round-1,joke-canvas,AUTO-ANIM,,
36,Explore,11,2,Meet the LLMs,7,How AI Learns,3,learn.s3,Weight dials,"Weight dials represent the BILLIONS of internal numbers. When AI is wrong, those numbers shift slightly. Define 'weights'.",learn-weights,joke-canvas,AUTO-ANIM,,
37,Explore,12,2,Meet the LLMs,7,How AI Learns,4,learn.s4,Robot Q&A round 2,"Second round: robots try again with adjusted weights, getting closer.",learn-round-2,joke-canvas,AUTO-ANIM,,
38,Explore,13,2,Meet the LLMs,7,How AI Learns,5,learn.s5,Robot Q&A round 2 reveal,Reveal whether robots got it right; dials adjust again.,learn-round-2,joke-canvas,AUTO-ANIM,,
39,Explore,14,2,Meet the LLMs,7,How AI Learns,6,learn.s6,Robot Q&A round 3,Third round: robots now answer correctly — the learning curve.,learn-round-3,joke-canvas,AUTO-ANIM,,
40,Explore,15,2,Meet the LLMs,7,How AI Learns,7,learn.s7,Real AI scale,"Real AI does this MILLIONS of times with millions of examples. It learns the PATTERN, not specific answers.",learn-payoff,frame,STATIC,,
41,Explore,16,3,Inside the Machine,9,The Big Question,0,bridge.s0,Open the hood,Transition beat: 'We know what LLMs are. Now we open the hood and look at the engine.' Define 'training'.,bridge-frame,pipeline,STATIC,Training stages presented as sequential are actually simultaneous in real training.,
42,Explore,17,3,Inside the Machine,9,The Big Question,1,bridge.s1,3-step pipeline anim,Robot with crank processes 'The cat sat on the ___' through 96 layers. Don't talk over it — let kids watch.,bridge-pipeline,pipeline-canvas,AUTO-ANIM,96 layers is GPT-3 specific. GPT-2 has 48; smaller models have 12; newer can have 128+.,
43,Explore,18,3,Inside the Machine,9,The Big Question,2,bridge.s2,All that for ONE word,Punchline: all that work — JUST FOR ONE WORD. Then it does it again. Word by word. That's how AI writes.,bridge-payoff,pipeline-canvas,STATIC,,
44,Explore,19,3,Inside the Machine,10,Numbers & Words,0,hook.s0,What is 'cat'?,"Show the word 'cat'. 'When you see this word, what happens in your brain?' Give 30–60s for kids to share.",hook-human,human-canvas,STATIC,,
45,Explore,20,3,Inside the Machine,10,Numbers & Words,1,hook.s1,Rich human descriptions,"Capture kids' descriptions: fur, whiskers, purring. Write a few on the board.",hook-human,human-canvas,STATIC,,
46,Explore,21,3,Inside the Machine,10,Numbers & Words,2,hook.s2,AI only has numbers,"Pivot: 'All of that — fur, purring, picture in your head — your brain does instantly. AI can't do ANY of that. Only numbers.' Define 'embedding'.",hook-pivot,pivot-canvas,STATIC,"AI processes 'tokens' (subword pieces), not whole words. We simplify to 'words'.",
47,Explore,22,3,Inside the Machine,10,Numbers & Words,3,hook.s3,"12,288 numbers stream","Numbers stream by, scrolling counter ticks up. Stay quiet — let the visual do the work. 'How many numbers do you think represent one word?'",hook-scale,scale-canvas,AUTO-ANIM,"12,288 is GPT-3's embedding dim. GPT-2 uses 768/1,600. Not universal.",
48,Explore,23,3,Inside the Machine,10,Numbers & Words,4,hook.s4,Point in meaning space,Each word becomes a point in 'meaning space'. Define 'vector' — coordinates with thousands of dimensions.,hook-scale,scale-canvas,STATIC,,
49,Explore,24,3,Inside the Machine,12,Words in Space,0,embed.s0,Tap-to-explore intro,"Similar meanings = close in space. Kids tap words, connection lines reveal relationships.",embed-2d-frame,scatter-canvas,SELECT,,
50,Explore,25,3,Inside the Machine,12,Words in Space,1,embed.s1,2D scatter active,Free exploration on the scatter plot. Why are king/queen close but far from pizza?,embed-2d-frame,scatter-canvas,SELECT,,
51,Explore,26,3,Inside the Machine,12,Words in Space,2,embed.s2,Clusters emerge,"Words cluster by meaning (animals, vehicles, royalty). AI discovers these clusters from data.",embed-clusters,scatter-canvas,STATIC,,
52,Explore,27,3,Inside the Machine,12,Words in Space,3,embed.s3,Dimension 1: Is animal?,Each dimension captures one aspect of meaning. First named dimension revealed; class names it before reveal.,embed-dims,dim-canvas,STATIC,,
53,Explore,28,3,Inside the Machine,12,Words in Space,4,embed.s4,Dimension 2: Has wings?,Cross-category surprise — bird AND plane have wings. AI discovered this on its own.,embed-dims,dim-canvas,STATIC,,
54,Explore,29,3,Inside the Machine,12,Words in Space,5,embed.s5,Dimension 3: ride-able,Another dimension stacks on top.,embed-dims,dim-canvas,STATIC,,
55,Explore,30,3,Inside the Machine,12,Words in Space,6,embed.s6,Dimension 4+ stack,More dimensions added — DimensionExplorer visualizes scoring.,embed-dims,dim-canvas,STATIC,,
56,Explore,31,3,Inside the Machine,12,Words in Space,7,embed.s7,Thousands of dimensions,Real AI uses thousands of dimensions to capture everything about a word's meaning.,embed-payoff,dim-canvas,STATIC,Named dimensions ('Is Animal?') are illustrative. Real dimensions aren't human-readable categories.,
57,Create,1,3,Inside the Machine,14,Attention!,0,attn.s0,Bat — vote,Show 'bat'. Show of hands: baseball bat or flying bat? Both should get votes.,attn-mystery,bat-canvas,SELECT,,
58,Create,2,3,Inside the Machine,14,Attention!,1,attn.s1,"Same word, two meanings",AI must figure it out without the picture in their head. How would YOU explain which bat using only words?,attn-mystery,bat-canvas,STATIC,,
59,Create,3,3,Inside the Machine,14,Attention!,2,attn.s2,Both meanings until context,AI sees BOTH meanings at once... unless it looks at the other words. Sets up the cliffhanger.,attn-mystery,bat-canvas,STATIC,,
60,Create,4,3,Inside the Machine,14,Attention!,3,attn.s3,Attention defined,Define 'attention' — the process where each word looks at all other words for clues.,attn-define,frame,STATIC,,
61,Create,5,3,Inside the Machine,14,Attention!,4,attn.s4,Baseball context beams,"Sentence: '...he swung the bat and hit the ball.' Beams light up clue words (swung, hit, ball). Class predicts which words are clues before reveal.",attn-example-1,sentence-canvas,AUTO-ANIM,,
62,Create,6,3,Inside the Machine,14,Attention!,5,attn.s5,Nature context beams,"Sentence: '...the bat flew out of the cave at dusk.' Different beams (flew, cave, dusk). Same word, different clues.",attn-example-2,sentence-canvas,AUTO-ANIM,,
63,Create,7,3,Inside the Machine,14,Attention!,6,attn.s6,Attention payoff,That's attention! Multiple attention HEADS work in parallel. Define 'attention head'.,attn-payoff,frame,STATIC,"Real attention is more parallel — each head computes weighted scores for every word pair simultaneously, with many heads per layer.",
64,Create,8,4,How AI Writes,15,The Thinking Layer,0,mlp.s0,MLP intro,Attention is reading the room and finding relationships. MLP is the THINKING layer — flips through everything ever learned. Define 'MLP'.,mlp-frame,mlp-canvas,STATIC,"'21 questions' analogy is illustrative — MLP does matrix multiplications, not literal yes/no questions.",
65,Create,9,4,How AI Writes,15,The Thinking Layer,1,mlp.s1,"Expand to 49,152","21 questions → 49,152 questions. 4× expansion = room to brainstorm. 'Why would you make it bigger in the middle?'",mlp-expand,mlp-canvas,STATIC,4× expansion is GPT-3-style; some models use 8/3× (Llama). Pattern is consistent though.,
66,Create,10,4,How AI Writes,15,The Thinking Layer,2,mlp.s2,Compress back down,"Keep what's useful, throw away the rest. Expand-then-compress = brainstorm then decide. Like deep breath before a hard answer.",mlp-compress,mlp-canvas,STATIC,,
67,Create,11,4,How AI Writes,15,The Thinking Layer,3,mlp.s3,Every layer = Attention + MLP,Every single layer does BOTH: Attention (words look at each other) + MLP (asks questions). 'How many layers?' (96),mlp-payoff,frame,STATIC,,
68,Create,12,4,How AI Writes,16,Rinse & Repeat,0,layers.s0,Layers preview,"Many layers, each pass richer. Early layers = letters/spelling, middle = grammar/facts, late = reasoning. Class guesses early-vs-late before reveal. Define 'layer'.",layers-preview,stack-canvas,STATIC,"96 layers is GPT-3; GPT-2 has 48, smaller models 12-24. Layer specialization is gradual, not as clean as 6 ranges.",
69,Create,13,4,How AI Writes,16,Rinse & Repeat,1,layers.s1,Full 96-layer animation,Animation runs through all 96 layers — questions evolve from 'is this spelled right?' (early) to 'which word fits best?' (late). Let it play.,layers-anim,stack-canvas,AUTO-ANIM,"Flashing questions are an analogy — each layer does math transformations, not literal questions.",
70,Create,14,4,How AI Writes,17,Predict!,0,pred.s0,After 96 layers — pick one word,Big question: all that work — but how does it actually pick the next word? This is the payoff.,pred-frame,frame,STATIC,,
71,Create,15,4,How AI Writes,17,Predict!,1,pred.s1,Meaning flows in,"Each word sends meaning into the last position. Grammar, facts, context all accumulate. Define 'prediction'.",pred-flow,flow-canvas,AUTO-ANIM,"By final layer, info is mixed/transformed — not a simple sum of parts. Beam animation oversimplifies.",
72,Create,16,4,How AI Writes,17,Predict!,2,pred.s2,Probability rankings,"Ranked list: mat 42%, floor 18%, etc. Top word wins — unless temperature adds randomness. Define 'probability'.",pred-ranks,ranks-canvas,STATIC,Real distribution is over 50K+ tokens; most get near-zero probability. Numbers shown are illustrative.,
73,Create,17,4,How AI Writes,17,Predict!,3,pred.s3,Temperature slider,"Generate sentence at temp 0.1 (frozen), then 1.5 (wild). Same prompt, different results. Define 'temperature'.",pred-temp,temp-canvas,SLIDER,,
74,Create,18,4,How AI Writes,17,Predict!,4,pred.s4,Full pipeline recap,Words → Numbers → Space → Attention → MLP → Predict. 'Now that you know how AI works — does it change how you'd use it?',pred-payoff,frame,STATIC,,
75,Create,19,5,Try It!,18,Try It Yourself!,0,try.s0,Hands-on intro,"Three tools: Predict, Word Space, Generate. Kids get to use real AI and see the concepts in action.",try-frame,frame,STATIC,,
76,Create,20,5,Try It!,18,Try It Yourself!,1,try.s1,Live AI playground,"Tabbed playground: Predict (real probability rankings), Word Space (real embeddings plotted), Generate (streaming AI writing word by word). Take turns suggesting prompts.",try-playground,playground-canvas,LIVE-AI,,Uses gpt-4o-mini + text-embedding-3-small. Embedding viz uses PCA to 2D — loses most information.
