step_v2,group_id,group_name,section_v2,section_title,slide_id,identifier,step_title,description,element_group,placement_group,interactive,K-2,3-5,7-8,session_K-2,session_3-5,session_7-8,simplification,notes
15,1,What Is AI?,3,Rules vs Learning,3,rules.s3,Pair 2 question,Second scenario pair. Class guesses again.,rules-pair-2,pair-2-canvas,SELECT,N,Y,Y,—,Discover,Discover,,
16,1,What Is AI?,3,Rules vs Learning,4,rules.s4,Pair 2 reveal,Reveal — second example reinforces the pattern.,rules-pair-2,pair-2-canvas,STATIC,N,Y,Y,—,Discover,Discover,,
17,1,What Is AI?,3,Rules vs Learning,5,rules.s5,Bias warning,"AI learns FROM EXAMPLES — bad/unbalanced examples = bad learning. Define 'bias'. 'If AI only saw golden retrievers, would it recognize a poodle as a dog?'",rules-insight,frame,STATIC,N,Y,Y,—,Discover,Discover,,
18,1,What Is AI?,4,Brain vs AI,0,brain.s0,Does AI think like us?,"Title — three areas to compare: how it learns, emotions, creativity. Honest framing: we don't fully know.",brain-frame,frame,STATIC,Y,Y,Y,—,Discover,Discover,,
19,1,What Is AI?,4,Brain vs AI,1,brain.s1,Learning Q,Prompt: how does each one learn?,brain-learning,row-learning,STATIC,Y,Y,Y,—,Discover,Discover,,
20,1,What Is AI?,4,Brain vs AI,2,brain.s2,Learning A,"Both learn — brains from living in the world, AI from millions of text examples.",brain-learning,row-learning,STATIC,Y,Y,Y,—,Discover,Discover,,
21,1,What Is AI?,4,Brain vs AI,3,brain.s3,Emotions Q,Prompt: does AI have feelings?,brain-emotions,row-emotions,STATIC,Y,Y,Y,—,Discover,Discover,,
22,1,What Is AI?,4,Brain vs AI,4,brain.s4,Emotions A,AI sounds emotional but doesn't FEEL anything — like an actor who can cry on cue without being sad.,brain-emotions,row-emotions,STATIC,N,Y,Y,—,Discover,Discover,,
23,1,What Is AI?,4,Brain vs AI,5,brain.s5,Creativity Q,Prompt: is AI creative?,brain-creative,row-creative,STATIC,N,Y,Y,—,Discover,Discover,,
24,1,What Is AI?,4,Brain vs AI,6,brain.s6,Creativity A,AI remixes patterns from training data. Is that creativity? Open question for the class.,brain-creative,row-creative,STATIC,N,Y,Y,—,Discover,Discover,,
25,1,What Is AI?,4,Brain vs AI,7,brain.s7,Math function payoff,Punchline: AI was inspired by neurons but is ultimately a giant math function — billions of multiplications. Define 'neuron'.,brain-payoff,frame,STATIC,N,Y,Y,—,Discover,Discover,,
26,2,Meet the LLMs,5,What's an LLM?,0,llm.s0,LLM intro,"Define LLM = Large Language Model. 'Three words, each matters — we'll break them down one by one.'",llm-frame,letter-stack,STATIC,Y,Y,Y,Explore,Explore,Discover,,
27,2,Meet the LLMs,5,What's an LLM?,1,llm.s1,L = Large,GPT-4 trained on TRILLIONS of words. English Wikipedia ≈ 4B words — these models read hundreds of Wikipedias.,llm-letters,letter-stack,STATIC,Y,Y,Y,Explore,Explore,Discover,We say 'words' but technically LLMs process tokens — subword pieces. We use 'words' because it's intuitive.,
28,2,Meet the LLMs,5,What's an LLM?,2,llm.s2,L = Language,"Distinguishes LLMs from image/audio AI. Some newer models handle images too, but language is core.",llm-letters,letter-stack,STATIC,Y,Y,Y,Explore,Explore,Discover,,
29,2,Meet the LLMs,5,What's an LLM?,3,llm.s3,M = Model,Mathematical representation of patterns. Analogy: hearing enough songs builds a 'model' of music in your brain — LLMs build a model of language.,llm-letters,letter-stack,STATIC,N,Y,Y,—,Explore,Discover,,
30,2,Meet the LLMs,5,What's an LLM?,4,llm.s4,Multimodal expansion,"Unpack: LLMs aren't just text anymore — vision, audio. Define 'multimodal'. Discussion: 'most popular thing people use LLMs for?'",llm-payoff,letter-stack,STATIC,N,Y,Y,—,Explore,Discover,,
31,2,Meet the LLMs,6,Meet the Models,0,models.s0,Carousel of 4 models,"Auto-scrolling cards: ChatGPT (OpenAI), Claude (Anthropic), Llama (Meta — open source), Gemini (Google). 'Has anyone heard of any of these?'",models-tour,carousel-canvas,AUTO-ANIM,N,Y,Y,—,Explore,Explore,,
32,2,Meet the LLMs,6,Meet the Models,1,models.s1,BIG question hook,'BILLIONS of words — but HOW does that teach it to write?' Dramatic pause. Don't answer yet.,models-hook,frame,STATIC,N,Y,Y,—,Explore,Explore,,
33,2,Meet the LLMs,7,How AI Learns,0,learn.s0,"Guess, check, adjust intro","Title — AI learns by guessing, being told if it's right or wrong, and adjusting its settings.",learn-frame,frame,STATIC,Y,Y,Y,Explore,Explore,Explore,,
34,2,Meet the LLMs,7,How AI Learns,1,learn.s1,Knock-knock setup,Round 1 setup: knock-knock. Cat says 'Lettuce' — what's the punchline? Robots make wild guesses.,learn-round-1,joke-canvas,AUTO-ANIM,Y,Y,Y,Explore,Explore,Explore,,
35,2,Meet the LLMs,7,How AI Learns,2,learn.s2,Punchline reveal,Punchline reveals: 'Lettuce in!' Robots got it wrong. Their weight dials shift.,learn-round-1,joke-canvas,AUTO-ANIM,Y,Y,Y,Explore,Explore,Explore,,
36,2,Meet the LLMs,7,How AI Learns,3,learn.s3,Weight dials,"Weight dials represent the BILLIONS of internal numbers. When AI is wrong, those numbers shift slightly. Define 'weights'.",learn-weights,joke-canvas,AUTO-ANIM,Y,Y,Y,Explore,Explore,Explore,,
37,2,Meet the LLMs,7,How AI Learns,4,learn.s4,Robot Q&A round 2,"Second round: robots try again with adjusted weights, getting closer.",learn-round-2,joke-canvas,AUTO-ANIM,Y,Y,Y,Explore,Explore,Explore,,
38,2,Meet the LLMs,7,How AI Learns,5,learn.s5,Robot Q&A round 2 reveal,Reveal whether robots got it right; dials adjust again.,learn-round-2,joke-canvas,AUTO-ANIM,N,Y,Y,—,Explore,Explore,,
39,2,Meet the LLMs,7,How AI Learns,6,learn.s6,Robot Q&A round 3,Third round: robots now answer correctly — the learning curve.,learn-round-3,joke-canvas,AUTO-ANIM,N,Y,Y,—,Explore,Explore,,
40,2,Meet the LLMs,7,How AI Learns,7,learn.s7,Real AI scale,"Real AI does this MILLIONS of times with millions of examples. It learns the PATTERN, not specific answers.",learn-payoff,frame,STATIC,N,Y,Y,—,Explore,Explore,,
41,2,Meet the LLMs,8,Three Steps to Helpful AI,0,steps.s0,Why pre-training isn't enough,"Connect to knock-knock joke: real AI does the same on a much bigger scale, in three stages. 'If you read every book in the library, would you automatically be helpful?'",steps-frame,pipeline,STATIC,N,N,Y,—,—,Explore,,
42,2,Meet the LLMs,8,Three Steps to Helpful AI,1,steps.s1,Stage 1: Pre-training,Pre-training = reading TRILLIONS of words. Spinning weight dials = billions of weights being adjusted. Speed-reading the internet.,steps-pretrain,pipeline,AUTO-ANIM,N,N,Y,—,—,Explore,,
43,2,Meet the LLMs,8,Three Steps to Helpful AI,2,steps.s2,Raw model surprise,Genuinely surprising moment: AI that read trillions of words... just keeps generating text. Doesn't know what a 'question' is yet.,steps-pretrain,pipeline,STATIC,N,N,Y,—,—,Explore,,
44,2,Meet the LLMs,8,Three Steps to Helpful AI,3,steps.s3,Stage 2: Instruction Tuning,"Humans write thousands of example conversations (Q→A). Same AI, completely different behavior — just from seeing good examples.",steps-tuning,pipeline,STATIC,N,N,Y,—,—,Explore,,
45,2,Meet the LLMs,8,Three Steps to Helpful AI,4,steps.s4,Stage 3: RLHF intro,RLHF = humans rate which responses are BETTER. Being able to answer isn't enough — AI needs to learn what GOOD looks like.,steps-rlhf-intro,pipeline,STATIC,N,N,Y,—,—,Explore,,
46,2,Meet the LLMs,8,Three Steps to Helpful AI,5,steps.s5,RLHF round 1,A/B choice: students pick the better response. Personality bars (Clearer / Safer / Friendlier) shift based on choice.,steps-rlhf-rounds,rlhf-canvas,SELECT,N,N,Y,—,—,Explore,,
47,2,Meet the LLMs,8,Three Steps to Helpful AI,6,steps.s6,RLHF round 2,Second A/B preference round; bars continue shifting.,steps-rlhf-rounds,rlhf-canvas,SELECT,N,N,Y,—,—,Explore,,
48,2,Meet the LLMs,8,Three Steps to Helpful AI,7,steps.s7,RLHF round 3,Third A/B round — class sees their cumulative preferences shape the AI.,steps-rlhf-rounds,rlhf-canvas,SELECT,N,N,Y,—,—,Explore,,
49,2,Meet the LLMs,8,Three Steps to Helpful AI,8,steps.s8,Whose 'good'?,Personality bars summary. Discussion: 'Who decides what GOOD means? Would AI from different countries behave differently?',steps-payoff,rlhf-canvas,STATIC,N,N,Y,—,—,Explore,,
50,3,Inside the Machine,9,The Big Question,0,bridge.s0,Open the hood,Transition beat: 'We know what LLMs are. Now we open the hood and look at the engine.' Define 'training'.,bridge-frame,pipeline,STATIC,Y,Y,Y,—,Explore,Explore,Training stages presented as sequential are actually simultaneous in real training.,
51,3,Inside the Machine,9,The Big Question,1,bridge.s1,3-step pipeline anim,Robot with crank processes 'The cat sat on the ___' through 96 layers. Don't talk over it — let kids watch.,bridge-pipeline,pipeline-canvas,AUTO-ANIM,Y,Y,Y,—,Explore,Explore,96 layers is GPT-3 specific. GPT-2 has 48; smaller models have 12; newer can have 128+.,
52,3,Inside the Machine,9,The Big Question,2,bridge.s2,All that for ONE word,Punchline: all that work — JUST FOR ONE WORD. Then it does it again. Word by word. That's how AI writes.,bridge-payoff,pipeline-canvas,STATIC,N,Y,Y,—,Explore,Explore,,
53,3,Inside the Machine,10,Numbers & Words,0,hook.s0,What is 'cat'?,"Show the word 'cat'. 'When you see this word, what happens in your brain?' Give 30–60s for kids to share.",hook-human,human-canvas,STATIC,Y,Y,Y,Explore,Explore,Explore,,
54,3,Inside the Machine,10,Numbers & Words,1,hook.s1,Rich human descriptions,"Capture kids' descriptions: fur, whiskers, purring. Write a few on the board.",hook-human,human-canvas,STATIC,Y,Y,Y,Explore,Explore,Explore,,
55,3,Inside the Machine,10,Numbers & Words,2,hook.s2,AI only has numbers,"Pivot: 'All of that — fur, purring, picture in your head — your brain does instantly. AI can't do ANY of that. Only numbers.' Define 'embedding'.",hook-pivot,pivot-canvas,STATIC,Y,Y,Y,Explore,Explore,Explore,"AI processes 'tokens' (subword pieces), not whole words. We simplify to 'words'.",
56,3,Inside the Machine,10,Numbers & Words,3,hook.s3,"12,288 numbers stream","Numbers stream by, scrolling counter ticks up. Stay quiet — let the visual do the work. 'How many numbers do you think represent one word?'",hook-scale,scale-canvas,AUTO-ANIM,N,Y,Y,—,Explore,Explore,"12,288 is GPT-3's embedding dim. GPT-2 uses 768/1,600. Not universal.",
57,3,Inside the Machine,10,Numbers & Words,4,hook.s4,Point in meaning space,Each word becomes a point in 'meaning space'. Define 'vector' — coordinates with thousands of dimensions.,hook-scale,scale-canvas,STATIC,N,Y,Y,—,Explore,Explore,,
58,3,Inside the Machine,11,Tokens — Not Quite Words,0,tokens.s0,Tokens reveal,Define 'token' — a piece of a word. Kids assumed AI thinks in words. Truth: tokens — subword pieces.,tokens-frame,frame,STATIC,N,N,Y,—,—,Explore,,
59,3,Inside the Machine,11,Tokens — Not Quite Words,1,tokens.s1,Vocab tradeoff intro,"Vocab size is a design choice — too small = too many pieces, too big = too much to learn. Spectrum visual.",tokens-tradeoff,spectrum-canvas,STATIC,N,N,Y,—,—,Explore,,
60,3,Inside the Machine,11,Tokens — Not Quite Words,2,tokens.s2,Too small (95),"At 95 tokens (every character separate), 'The cat sat' explodes into 11 tokens. Wildly inefficient.",tokens-tradeoff,spectrum-canvas,AUTO-ANIM,N,N,Y,—,—,Explore,,
61,3,Inside the Machine,11,Tokens — Not Quite Words,3,tokens.s3,Too big (1M),"At 1M+ tokens (every word unique), grid becomes overwhelming. Too many entries to learn well.",tokens-tradeoff,spectrum-canvas,AUTO-ANIM,N,N,Y,—,—,Explore,,
62,3,Inside the Machine,11,Tokens — Not Quite Words,4,tokens.s4,Sweet spot (50K),50K is the sweet spot. 'Unbelievable' snap-splits into Un + believ + able — reusable across many words.,tokens-sweet-spot,spectrum-canvas,AUTO-ANIM,N,N,Y,—,—,Explore,,
63,3,Inside the Machine,11,Tokens — Not Quite Words,5,tokens.s5,Tokenizer demo,"Kids type words and see them split into colored token chips with token IDs. Try long, compound, made-up words.",tokens-hands-on,demo-canvas,INPUT,N,N,Y,—,—,Explore,,Real tokenizer (cl100k_base or similar). Fallback splits unknown words into 3-char chunks.
64,3,Inside the Machine,11,Tokens — Not Quite Words,6,tokens.s6,Stadium of 50K,"For every position in a sentence, AI considers 50,000 options. Stadium visual: pick one person from a crowd of 50K.",tokens-payoff,frame,STATIC,N,N,Y,—,—,Explore,,
65,3,Inside the Machine,12,Words in Space,0,embed.s0,Tap-to-explore intro,"Similar meanings = close in space. Kids tap words, connection lines reveal relationships.",embed-2d-frame,scatter-canvas,SELECT,Y,Y,Y,Create,Explore,Explore,,
66,3,Inside the Machine,12,Words in Space,1,embed.s1,2D scatter active,Free exploration on the scatter plot. Why are king/queen close but far from pizza?,embed-2d-frame,scatter-canvas,SELECT,Y,Y,Y,Create,Explore,Explore,,
67,3,Inside the Machine,12,Words in Space,2,embed.s2,Clusters emerge,"Words cluster by meaning (animals, vehicles, royalty). AI discovers these clusters from data.",embed-clusters,scatter-canvas,STATIC,Y,Y,Y,Create,Explore,Explore,,
68,3,Inside the Machine,12,Words in Space,3,embed.s3,Dimension 1: Is animal?,Each dimension captures one aspect of meaning. First named dimension revealed; class names it before reveal.,embed-dims,dim-canvas,STATIC,Y,Y,Y,Create,Explore,Explore,,
69,3,Inside the Machine,12,Words in Space,4,embed.s4,Dimension 2: Has wings?,Cross-category surprise — bird AND plane have wings. AI discovered this on its own.,embed-dims,dim-canvas,STATIC,N,Y,Y,—,Explore,Explore,,
70,3,Inside the Machine,12,Words in Space,5,embed.s5,Dimension 3: ride-able,Another dimension stacks on top.,embed-dims,dim-canvas,STATIC,N,Y,Y,—,Explore,Explore,,
71,3,Inside the Machine,12,Words in Space,6,embed.s6,Dimension 4+ stack,More dimensions added — DimensionExplorer visualizes scoring.,embed-dims,dim-canvas,STATIC,N,Y,Y,—,Explore,Explore,,
72,3,Inside the Machine,12,Words in Space,7,embed.s7,Thousands of dimensions,Real AI uses thousands of dimensions to capture everything about a word's meaning.,embed-payoff,dim-canvas,STATIC,N,Y,Y,—,Explore,Explore,Named dimensions ('Is Animal?') are illustrative. Real dimensions aren't human-readable categories.,
73,3,Inside the Machine,13,Beyond 2D,0,b2d.s0,Connect to 2D scatter,Reference earlier scatter plot. 'That was 2 dimensions. What if we could add more?',b2d-frame,frame,STATIC,N,N,Y,—,—,Explore,,
74,3,Inside the Machine,13,Beyond 2D,1,b2d.s1,1D number line,"Cat and Dog close, Pizza far. Just one axis — only close vs far, no nuance.",b2d-progression,dim-stack,STATIC,N,N,Y,—,—,Explore,,
75,3,Inside the Machine,13,Beyond 2D,2,b2d.s2,2D plane,"Two axes — words can cluster by type. Better, still limited.",b2d-progression,dim-stack,STATIC,N,N,Y,—,—,Explore,,
76,3,Inside the Machine,13,Beyond 2D,3,b2d.s3,3D cube (drag),3D cube of meaning — kids drag to rotate it. Physicality makes the concept tangible.,b2d-progression,dim-stack,DRAG,N,N,Y,—,—,Explore,,
77,3,Inside the Machine,13,Beyond 2D,4,b2d.s4,"Counter accelerates to 12,288","Counter accelerates from 4 → 12,288. Wow moment. We can't picture it, but math handles it perfectly. Define 'high-dimensional space'.",b2d-progression,dim-stack,AUTO-ANIM,N,N,Y,—,—,Explore,,
78,3,Inside the Machine,13,Beyond 2D,5,b2d.s5,Cosine similarity,"Arrow pairs: similar words point the same way (King↔Queen 0.92), unrelated words point apart (Cat↔Pizza 0.12). Define 'cosine similarity'.",b2d-cosine,frame,STATIC,N,N,Y,—,—,Explore,,
79,3,Inside the Machine,14,Attention!,0,attn.s0,Bat — vote,Show 'bat'. Show of hands: baseball bat or flying bat? Both should get votes.,attn-mystery,bat-canvas,SELECT,Y,Y,Y,Create,Create,Create,,
80,3,Inside the Machine,14,Attention!,1,attn.s1,"Same word, two meanings",AI must figure it out without the picture in their head. How would YOU explain which bat using only words?,attn-mystery,bat-canvas,STATIC,Y,Y,Y,Create,Create,Create,,
81,3,Inside the Machine,14,Attention!,2,attn.s2,Both meanings until context,AI sees BOTH meanings at once... unless it looks at the other words. Sets up the cliffhanger.,attn-mystery,bat-canvas,STATIC,Y,Y,Y,Create,Create,Create,,
82,3,Inside the Machine,14,Attention!,3,attn.s3,Attention defined,Define 'attention' — the process where each word looks at all other words for clues.,attn-define,frame,STATIC,Y,Y,Y,Create,Create,Create,,
83,3,Inside the Machine,14,Attention!,4,attn.s4,Baseball context beams,"Sentence: '...he swung the bat and hit the ball.' Beams light up clue words (swung, hit, ball). Class predicts which words are clues before reveal.",attn-example-1,sentence-canvas,AUTO-ANIM,N,Y,Y,—,Create,Create,,
84,3,Inside the Machine,14,Attention!,5,attn.s5,Nature context beams,"Sentence: '...the bat flew out of the cave at dusk.' Different beams (flew, cave, dusk). Same word, different clues.",attn-example-2,sentence-canvas,AUTO-ANIM,N,Y,Y,—,Create,Create,,
85,3,Inside the Machine,14,Attention!,6,attn.s6,Attention payoff,That's attention! Multiple attention HEADS work in parallel. Define 'attention head'.,attn-payoff,frame,STATIC,N,Y,Y,—,Create,Create,"Real attention is more parallel — each head computes weighted scores for every word pair simultaneously, with many heads per layer.",
86,4,How AI Writes,15,The Thinking Layer,0,mlp.s0,MLP intro,Attention is reading the room and finding relationships. MLP is the THINKING layer — flips through everything ever learned. Define 'MLP'.,mlp-frame,mlp-canvas,STATIC,N,Y,Y,—,Create,Create,"'21 questions' analogy is illustrative — MLP does matrix multiplications, not literal yes/no questions.",
87,4,How AI Writes,15,The Thinking Layer,1,mlp.s1,"Expand to 49,152","21 questions → 49,152 questions. 4× expansion = room to brainstorm. 'Why would you make it bigger in the middle?'",mlp-expand,mlp-canvas,STATIC,N,Y,Y,—,Create,Create,4× expansion is GPT-3-style; some models use 8/3× (Llama). Pattern is consistent though.,
88,4,How AI Writes,15,The Thinking Layer,2,mlp.s2,Compress back down,"Keep what's useful, throw away the rest. Expand-then-compress = brainstorm then decide. Like deep breath before a hard answer.",mlp-compress,mlp-canvas,STATIC,N,Y,Y,—,Create,Create,,
89,4,How AI Writes,15,The Thinking Layer,3,mlp.s3,Every layer = Attention + MLP,Every single layer does BOTH: Attention (words look at each other) + MLP (asks questions). 'How many layers?' (96),mlp-payoff,frame,STATIC,N,Y,Y,—,Create,Create,,
90,4,How AI Writes,16,Rinse & Repeat,0,layers.s0,Layers preview,"Many layers, each pass richer. Early layers = letters/spelling, middle = grammar/facts, late = reasoning. Class guesses early-vs-late before reveal. Define 'layer'.",layers-preview,stack-canvas,STATIC,N,Y,Y,—,Create,Create,"96 layers is GPT-3; GPT-2 has 48, smaller models 12-24. Layer specialization is gradual, not as clean as 6 ranges.",
91,4,How AI Writes,16,Rinse & Repeat,1,layers.s1,Full 96-layer animation,Animation runs through all 96 layers — questions evolve from 'is this spelled right?' (early) to 'which word fits best?' (late). Let it play.,layers-anim,stack-canvas,AUTO-ANIM,N,Y,Y,—,Create,Create,"Flashing questions are an analogy — each layer does math transformations, not literal questions.",
92,4,How AI Writes,17,Predict!,0,pred.s0,After 96 layers — pick one word,Big question: all that work — but how does it actually pick the next word? This is the payoff.,pred-frame,frame,STATIC,Y,Y,Y,Create,Create,Create,,
93,4,How AI Writes,17,Predict!,1,pred.s1,Meaning flows in,"Each word sends meaning into the last position. Grammar, facts, context all accumulate. Define 'prediction'.",pred-flow,flow-canvas,AUTO-ANIM,Y,Y,Y,Create,Create,Create,"By final layer, info is mixed/transformed — not a simple sum of parts. Beam animation oversimplifies.",
94,4,How AI Writes,17,Predict!,2,pred.s2,Probability rankings,"Ranked list: mat 42%, floor 18%, etc. Top word wins — unless temperature adds randomness. Define 'probability'.",pred-ranks,ranks-canvas,STATIC,Y,Y,Y,Create,Create,Create,Real distribution is over 50K+ tokens; most get near-zero probability. Numbers shown are illustrative.,
95,4,How AI Writes,17,Predict!,3,pred.s3,Temperature slider,"Generate sentence at temp 0.1 (frozen), then 1.5 (wild). Same prompt, different results. Define 'temperature'.",pred-temp,temp-canvas,SLIDER,N,Y,Y,—,Create,Create,,
96,4,How AI Writes,17,Predict!,4,pred.s4,Full pipeline recap,Words → Numbers → Space → Attention → MLP → Predict. 'Now that you know how AI works — does it change how you'd use it?',pred-payoff,frame,STATIC,N,Y,Y,—,Create,Create,,
97,5,Try It!,18,Try It Yourself!,0,try.s0,Hands-on intro,"Three tools: Predict, Word Space, Generate. Kids get to use real AI and see the concepts in action.",try-frame,frame,STATIC,Y,Y,Y,Create,Create,Create,,
98,5,Try It!,18,Try It Yourself!,1,try.s1,Live AI playground,"Tabbed playground: Predict (real probability rankings), Word Space (real embeddings plotted), Generate (streaming AI writing word by word). Take turns suggesting prompts.",try-playground,playground-canvas,LIVE-AI,N,Y,Y,—,Create,Create,,Uses gpt-4o-mini + text-embedding-3-small. Embedding viz uses PCA to 2D — loses most information.
99,6,Bonus,19,Beyond What AI Knows,0,beyond.s0,Three things AI can't do,"Knowledge cutoff, no precise math, no file access. 'If AI is so smart, why can't it tell us today's date?' Define 'knowledge cutoff'.",beyond-limits,limits-canvas,STATIC,N,N,Y,—,—,Create,,
100,6,Bonus,19,Beyond What AI Knows,1,beyond.s1,Solution 1: Context stuffing,Paste info into your message. AI reads it alongside your question. You do the work. Define 'context window'.,beyond-solutions,solution-canvas,STATIC,N,N,Y,—,—,Create,,
101,6,Bonus,19,Beyond What AI Knows,2,beyond.s2,Solution 2: RAG,"A regular program SEARCHES for relevant docs, hands them to AI. Search = deterministic, answer = AI. Define 'RAG'.",beyond-solutions,solution-canvas,STATIC,N,N,Y,—,—,Create,,
102,6,Bonus,19,Beyond What AI Knows,3,beyond.s3,Solution 3: Tool use,Model LEARNED to write a special message asking for a tool. A program runs it and sends result back. Optional behind-the-scenes panel shows the actual tool_call format. Define 'tool use' / 'function calling'.,beyond-solutions,solution-canvas,STATIC,N,N,Y,—,—,Create,,behindTheScenes panel can expand to show user / assistant / tool_result / final message exchange.
103,6,Bonus,19,Beyond What AI Knows,4,beyond.s4,Agent loop,Agent = Think → Act → Observe → repeat. Walk through pizza party example step by step. Define 'agent'.,beyond-agents,agent-canvas,AUTO-ANIM,N,N,Y,—,—,Create,,
104,6,Bonus,19,Beyond What AI Knows,5,beyond.s5,All three together,"Real apps (ChatGPT, Claude, Gemini) use ALL three: context stuffing + RAG + tools. Each solves a different problem.",beyond-recap,frame,STATIC,N,N,Y,—,—,Create,,
105,6,Bonus,19,Beyond What AI Knows,6,beyond.s6,Mission Control demo,"Tool toggles (calculator, today's date, doc search). Side-by-side: WITHOUT tools vs WITH. StepTrace shows tool_call → tool_result → response.",beyond-demo,demo-canvas,LIVE-AI,N,N,Y,—,—,Create,,Hover over each tool for tooltip; sample questions pre-fill on click.
