step,session,session_step,group_id,group_name,section_v2,section_title,slide_id,identifier,step_title,description,element_group,placement_group,interactive,simplification,notes
12,Discover,12,1,What Is AI?,3,Rules vs Learning,1,rules.s1,Pair 1 question,First scenario pair shown side-by-side (e.g. calculator vs cat detector). Class guesses which is which.,rules-pair-1,pair-1-canvas,SELECT,,
13,Discover,13,1,What Is AI?,3,Rules vs Learning,2,rules.s2,Pair 1 reveal,Reveal which is rule-based and which is AI. Bike analogy: you can't learn to ride a bike from instructions.,rules-pair-1,pair-1-canvas,STATIC,,
14,Explore,1,2,Meet the LLMs,5,What's an LLM?,0,llm.s0,LLM intro,"Define LLM = Large Language Model. 'Three words, each matters — we'll break them down one by one.'",llm-frame,letter-stack,STATIC,,
15,Explore,2,2,Meet the LLMs,5,What's an LLM?,1,llm.s1,L = Large,GPT-4 trained on TRILLIONS of words. English Wikipedia ≈ 4B words — these models read hundreds of Wikipedias.,llm-letters,letter-stack,STATIC,We say 'words' but technically LLMs process tokens — subword pieces. We use 'words' because it's intuitive.,
16,Explore,3,2,Meet the LLMs,5,What's an LLM?,2,llm.s2,L = Language,"Distinguishes LLMs from image/audio AI. Some newer models handle images too, but language is core.",llm-letters,letter-stack,STATIC,,
17,Explore,4,2,Meet the LLMs,7,How AI Learns,0,learn.s0,"Guess, check, adjust intro","Title — AI learns by guessing, being told if it's right or wrong, and adjusting its settings.",learn-frame,frame,STATIC,,
18,Explore,5,2,Meet the LLMs,7,How AI Learns,1,learn.s1,Knock-knock setup,Round 1 setup: knock-knock. Cat says 'Lettuce' — what's the punchline? Robots make wild guesses.,learn-round-1,joke-canvas,AUTO-ANIM,,
19,Explore,6,2,Meet the LLMs,7,How AI Learns,2,learn.s2,Punchline reveal,Punchline reveals: 'Lettuce in!' Robots got it wrong. Their weight dials shift.,learn-round-1,joke-canvas,AUTO-ANIM,,
20,Explore,7,2,Meet the LLMs,7,How AI Learns,3,learn.s3,Weight dials,"Weight dials represent the BILLIONS of internal numbers. When AI is wrong, those numbers shift slightly. Define 'weights'.",learn-weights,joke-canvas,AUTO-ANIM,,
21,Explore,8,2,Meet the LLMs,7,How AI Learns,4,learn.s4,Robot Q&A round 2,"Second round: robots try again with adjusted weights, getting closer.",learn-round-2,joke-canvas,AUTO-ANIM,,
22,Explore,9,3,Inside the Machine,10,Numbers & Words,0,hook.s0,What is 'cat'?,"Show the word 'cat'. 'When you see this word, what happens in your brain?' Give 30–60s for kids to share.",hook-human,human-canvas,STATIC,,
23,Explore,10,3,Inside the Machine,10,Numbers & Words,1,hook.s1,Rich human descriptions,"Capture kids' descriptions: fur, whiskers, purring. Write a few on the board.",hook-human,human-canvas,STATIC,,
24,Explore,11,3,Inside the Machine,10,Numbers & Words,2,hook.s2,AI only has numbers,"Pivot: 'All of that — fur, purring, picture in your head — your brain does instantly. AI can't do ANY of that. Only numbers.' Define 'embedding'.",hook-pivot,pivot-canvas,STATIC,"AI processes 'tokens' (subword pieces), not whole words. We simplify to 'words'.",
25,Create,1,3,Inside the Machine,12,Words in Space,0,embed.s0,Tap-to-explore intro,"Similar meanings = close in space. Kids tap words, connection lines reveal relationships.",embed-2d-frame,scatter-canvas,SELECT,,
26,Create,2,3,Inside the Machine,12,Words in Space,1,embed.s1,2D scatter active,Free exploration on the scatter plot. Why are king/queen close but far from pizza?,embed-2d-frame,scatter-canvas,SELECT,,
27,Create,3,3,Inside the Machine,12,Words in Space,2,embed.s2,Clusters emerge,"Words cluster by meaning (animals, vehicles, royalty). AI discovers these clusters from data.",embed-clusters,scatter-canvas,STATIC,,
28,Create,4,3,Inside the Machine,12,Words in Space,3,embed.s3,Dimension 1: Is animal?,Each dimension captures one aspect of meaning. First named dimension revealed; class names it before reveal.,embed-dims,dim-canvas,STATIC,,
29,Create,5,3,Inside the Machine,14,Attention!,0,attn.s0,Bat — vote,Show 'bat'. Show of hands: baseball bat or flying bat? Both should get votes.,attn-mystery,bat-canvas,SELECT,,
30,Create,6,3,Inside the Machine,14,Attention!,1,attn.s1,"Same word, two meanings",AI must figure it out without the picture in their head. How would YOU explain which bat using only words?,attn-mystery,bat-canvas,STATIC,,
31,Create,7,3,Inside the Machine,14,Attention!,2,attn.s2,Both meanings until context,AI sees BOTH meanings at once... unless it looks at the other words. Sets up the cliffhanger.,attn-mystery,bat-canvas,STATIC,,
32,Create,8,3,Inside the Machine,14,Attention!,3,attn.s3,Attention defined,Define 'attention' — the process where each word looks at all other words for clues.,attn-define,frame,STATIC,,
33,Create,9,4,How AI Writes,17,Predict!,0,pred.s0,After 96 layers — pick one word,Big question: all that work — but how does it actually pick the next word? This is the payoff.,pred-frame,frame,STATIC,,
34,Create,10,4,How AI Writes,17,Predict!,1,pred.s1,Meaning flows in,"Each word sends meaning into the last position. Grammar, facts, context all accumulate. Define 'prediction'.",pred-flow,flow-canvas,AUTO-ANIM,"By final layer, info is mixed/transformed — not a simple sum of parts. Beam animation oversimplifies.",
35,Create,11,4,How AI Writes,17,Predict!,2,pred.s2,Probability rankings,"Ranked list: mat 42%, floor 18%, etc. Top word wins — unless temperature adds randomness. Define 'probability'.",pred-ranks,ranks-canvas,STATIC,Real distribution is over 50K+ tokens; most get near-zero probability. Numbers shown are illustrative.,
36,Create,12,5,Try It!,18,Try It Yourself!,0,try.s0,Hands-on intro,"Three tools: Predict, Word Space, Generate. Kids get to use real AI and see the concepts in action.",try-frame,frame,STATIC,,
